data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1HRK;1RON;1BGN;1TRY;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;1RUB;10000IDR;100INR;100KRW;1CNY;1XDR;nr tabeli;pe³ny numer tabeli;
;bat (Tajlandia);dolar amerykañski;dolar australijski;dolar Hongkongu;dolar kanadyjski;dolar nowozelandzki;dolar singapurski;euro;forint (Wêgry);frank szwajcarski;funt szterling;hrywna (Ukraina);jen (Japonia);korona czeska;korona duñska;korona islandzka;korona norweska;korona szwedzka;kuna (Chorwacja);lej rumuñski;lew (Bu³garia);lira turecka;nowy  izraelski szekel;peso  chilijskie;peso filipiñskie;peso meksykañskie;rand (Republika Po³udniowej Afryki);real (Brazylia);ringgit (Malezja);rubel rosyjski;rupia indonezyjska;rupia  indyjska;won po³udniowokoreañski;yuan renminbi (Chiny);SDR (MFW);
20160104;0,1087;3,9281;2,8349;0,5068;2,8247;2,6577;2,7609;4,2935;1,3597;3,9526;5,8083;0,1635;3,3049;0,1588;0,5753;3,0364;0,4443;0,4673;0,5618;0,9508;2,1952;1,3330;1,0051;0,5543;0,0834;0,2263;0,2519;0,9919;0,9042;0,0535;2,8232;5,9078;0,3305;0,6026;5,4649;1;001/A/NBP/2016;
20160105;0,1109;4,0073;2,8763;0,5170;2,8769;2,6858;2,8140;4,3176;1,3690;3,9792;5,8779;0,1666;3,3658;0,1597;0,5786;3,0535;0,4490;0,4680;0,5651;0,9541;2,2076;1,3425;1,0211;0,5591;0,0854;0,2310;0,2559;0,9917;0,9221;0,0546;2,8908;6,0131;0,3365;0,6146;5,4974;2;002/A/NBP/2016;
20160107;0,1105;4,0085;2,8167;0,5170;2,8402;2,6606;2,7908;4,3475;1,3771;3,9979;5,8430;0,1663;3,4102;0,1609;0,5829;3,0714;0,4485;0,4688;0,5691;0,9603;2,2228;1,3288;1,0171;0,5610;0,0851;0,2269;0,2490;0,9917;0,9113;0,0530;2,8780;5,9965;0,3340;0,6102;5,5836;3;003/A/NBP/2016;
20160108;0,1101;3,9963;2,8070;0,5152;2,8338;2,6481;2,7803;4,3457;1,3782;3,9922;5,8449;0,1662;3,3784;0,1608;0,5827;3,0712;0,4502;0,4698;0,5685;0,9602;2,2219;1,3367;1,0178;0,5538;0,0847;0,2248;0,2497;0,9879;0,9100;0,0542;2,8707;5,9879;0,3326;0,6063;5,5354;4;004/A/NBP/2016;
20160111;0,1105;4,0085;2,8101;0,5167;2,8395;2,6352;2,7945;4,3635;1,3802;4,0159;5,8402;0,1709;3,4014;0,1614;0,5849;3,0881;0,4514;0,4709;0,5710;0,9638;2,2310;1,3287;1,0231;0,5508;0,0850;0,2247;0,2431;0,9959;0,9148;0,0532;2,8890;6,0078;0,3329;0,6095;5,5617;5;005/A/NBP/2016;
20160112;0,1106;4,0170;2,8070;0,5179;2,8245;2,6314;2,7951;4,3621;1,3720;4,0170;5,8223;0,1732;3,4131;0,1614;0,5847;3,0838;0,4512;0,4713;0,5698;0,9623;2,2303;1,3255;1,0215;0,5489;0,0849;0,2254;0,2408;0,9908;0,9119;0,0527;2,8885;6,0076;0,3320;0,6111;5,5511;6;006/A/NBP/2016;
20160113;0,1105;4,0068;2,8138;0,5163;2,8189;2,6298;2,7930;4,3345;1,3739;3,9782;5,7963;0,1725;3,3875;0,1604;0,5810;3,0654;0,4523;0,4685;0,5655;0,9574;2,2162;1,3276;1,0172;0,5489;0,0845;0,2249;0,2430;0,9952;0,9151;0,0524;2,8974;5,9952;0,3330;0,6093;5,5287;7;007/A/NBP/2016;
20160114;0,1101;3,9990;2,7728;0,5143;2,7842;2,5894;2,7777;4,3605;1,3796;3,9800;5,7492;0,1670;3,3927;0,1614;0,5843;3,0794;0,4526;0,4689;0,5684;0,9605;2,2295;1,3211;1,0138;0,5499;0,0837;0,2229;0,2412;0,9951;0,9086;0,0523;2,8753;5,9495;0,3289;0,6068;5,5634;8;008/A/NBP/2016;
20160115;0,1112;4,0411;2,7832;0,5188;2,7844;2,5895;2,8058;4,4075;1,3985;4,0284;5,8085;0,1660;3,4408;0,1631;0,5906;3,1159;0,4575;0,4723;0,5750;0,9719;2,2536;1,3310;1,0254;0,5603;0,0845;0,2242;0,2435;1,0070;0,9139;0,0524;2,9089;5,9726;0,3323;0,6136;5,6037;9;009/A/NBP/2016;
